Track_Name,Artist_Name,Album_Name,Disc_Number,Track_Number,Track_Duration_(ms),Added_At
Wait,M83,"Hurry up, We're Dreaming",1,5,343253,2019-10-11T16:44:10Z
Clint Eastwood,Gorillaz,Gorillaz,1,5,340920,2019-04-25T19:15:35Z
Smoke On The Water - Remastered 2012,Deep Purple,Machine Head (Remastered),1,5,340742,2019-06-28T14:17:29Z
White Noise,"Disclosure, AlunaGeorge",White Noise,1,1,340268,2019-04-25T18:48:55Z
"Love Like a Sunset, Pt. I",Phoenix,Wolfgang Amadeus Phoenix,1,4,338560,2019-07-03T15:44:17Z
Holy Grail,"JAY-Z, Justin Timberlake",Magna Carta... Holy Grail,1,1,338413,2019-04-25T18:11:58Z
In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),1,1,336453,2019-06-06T00:26:05Z
"New York, I Love You but You're Bringing Me Down",LCD Soundsystem,Sound Of Silver,1,9,335480,2020-01-07T23:55:48Z
Wake Up,Arcade Fire,Funeral,1,7,335333,2019-08-27T12:45:20Z
Wish You Were Here - 2011 Remastered Version,Pink Floyd,Wish You Were Here [Remastered] (Remastered Version),1,4,334743,2019-08-20T18:05:23Z
"Whenever, Wherever",Bombay Bicycle Club,"So Long, See You Tomorrow",1,5,330880,2019-04-25T18:14:12Z
Family Friend,The Vaccines,What Did You Expect from the Vaccines?,1,11,329960,2020-04-22T14:31:16Z
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),1,6,329733,2019-04-25T18:48:55Z
Some Might Say,Oasis,Time Flies... 1994-2009,1,14,329133,2019-04-25T18:32:43Z
Syrups,Foals,Part 1 Everything Not Saved Will Be Lost,1,5,328924,2019-04-25T18:22:14Z
Cancel On Me,Bombay Bicycle Club,I Had The Blues But I Shook Them Loose,1,8,328720,2019-04-25T18:13:47Z
North American Scum,LCD Soundsystem,Sound Of Silver,1,3,328706,2019-11-26T21:37:09Z
Old Pine,Ben Howard,Every Kingdom,1,1,328506,2019-04-25T18:13:07Z
TRUE - Single Edit,Spandau Ballet,True - The Digital E.P.,1,1,328293,2019-06-27T15:33:08Z
Hell Of A Life,Kanye West,My Beautiful Dark Twisted Fantasy,1,10,327786,2019-09-16T11:10:27Z
My Humps,Black Eyed Peas,Monkey Business,1,5,326960,2019-08-12T14:09:49Z
Tomorrow's Dust,Tame Impala,The Slow Rush,1,6,326840,2020-04-09T14:55:02Z
"Lose Yourself - From 8 Mile"" Soundtrack""",Eminem,Curtain Call (Deluxe),1,6,326466,2019-04-25T18:48:55Z
Suit & Tie (feat. Jay-Z),"Justin Timberlake, JAY-Z",The 20/20 Experience (Deluxe Version),1,2,326280,2019-04-25T18:59:44Z
Idontknow,Jamie xx,Idontknow,1,1,321502,2020-04-29T13:30:32Z
House of the Rising Sun,alt-J,RELAXER,1,3,320666,2019-12-20T16:33:32Z
EML Ritual,The Chemical Brothers,Born In The Echoes,1,4,320603,2019-08-12T21:47:40Z
One More Time,Daft Punk,Discovery,1,1,320357,2019-08-12T16:32:59Z
Everybody Hurts,R.E.M.,Automatic For The People,1,4,320266,2019-08-20T18:49:00Z
Blk & Blu,"Chase & Status, Ed Thomas",Brand New Machine (Deluxe Version),1,4,320000,2020-01-07T21:53:51Z
Man in the Mirror - 2012 Remaster,Michael Jackson,Bad 25th Anniversary,1,7,318680,2019-04-25T18:29:14Z
Eventually,Tame Impala,Currents,1,5,318591,2019-09-16T10:59:38Z
Milk & Black Spiders,Foals,Holy Fire,1,8,317253,2020-05-05T15:02:35Z
The Giantess,Bombay Bicycle Club,I Had The Blues But I Shook Them Loose,1,12,317080,2019-12-20T16:38:45Z
Optimistic,Radiohead,Kid A,1,6,315973,2020-01-19T12:58:01Z
The Gospel of John Hurt,alt-J,This Is All Yours,1,10,315524,2019-04-25T18:08:06Z
Red Socks Pugie,Foals,Antidotes,1,3,315253,2019-08-12T13:54:43Z
5 Minutes,Tinie Tempah,Demonstration,1,15,314702,2019-04-25T18:41:03Z
Neighborhood #3 (Power Out),Arcade Fire,Funeral,1,4,312906,2019-10-08T12:14:34Z
SICKO MODE,Travis Scott,ASTROWORLD,1,3,312820,2019-04-25T18:53:35Z
Ya Hey,Vampire Weekend,Modern Vampires of the City,1,10,312653,2020-01-23T15:26:15Z
The Morning,The Weeknd,Trilogy,1,4,312426,2019-04-25T18:44:11Z
Live For What I'd Die For - Distance Remix,"Jess Mills, DJ Distance",Live For What I'd Die For (Distance Remix),1,1,312293,2019-04-25T18:54:49Z
Music To Walk Home By,Tame Impala,Lonerism,1,5,312213,2019-12-16T17:13:37Z
Stronger,Kanye West,Graduation (UK Version),1,3,311866,2019-04-25T18:48:55Z
Rivers In Your Mouth,Ben Howard,I Forget Where We Were,1,2,311626,2019-04-25T18:13:07Z
Outside,Catfish and the Bottlemen,The Ride,1,11,311200,2019-04-25T18:57:37Z
Rebellion (Lies),Arcade Fire,Funeral,1,9,310893,2019-08-27T12:45:26Z
That's Not My Name,The Ting Tings,We Started Nothing,1,2,310573,2019-11-22T20:23:20Z
Beautiful War,Kings of Leon,Mechanical Bull (Expanded Edition),1,4,309920,2019-07-28T16:24:45Z
Walk This Way (feat. Aerosmith),"Run–D.M.C., Aerosmith",Raising Hell,1,4,309760,2019-04-25T22:53:12Z
The Scientist,Coldplay,A Rush of Blood to the Head,1,4,309600,2019-04-25T18:17:11Z
The Wolves,Ben Howard,Every Kingdom (Deluxe Version),1,3,309346,2019-04-25T18:13:07Z
Idioteque,Radiohead,Kid A,1,8,309093,2020-01-20T21:39:44Z
Harmony Hall,Vampire Weekend,Father of the Bride,1,2,308733,2019-12-19T17:58:58Z
Clocks,Coldplay,A Rush of Blood to the Head,1,5,307879,2019-04-25T18:17:11Z
Cinema - Skrillex Remix,"Benny Benassi, Gary Go, Skrillex",Electroman,1,14,307862,2019-07-06T15:55:51Z
The Time (Dirty Bit),Black Eyed Peas,The Beginning (Deluxe),1,1,307640,2019-08-12T14:09:49Z
Taro,alt-J,An Awesome Wave,1,13,305980,2019-04-25T18:07:24Z
Heaven/Hell,CHVRCHES,Love Is Dead,1,9,305945,2019-04-25T18:18:15Z
In For The Kill - Skream's Let's Get Ravey Remix,"La Roux, Skream",In For The Kill,1,2,305386,2019-04-25T20:00:41Z
Uprising,Muse,The Resistance,1,1,304840,2019-04-25T18:48:55Z
No Diggity,"Blackstreet, Dr. Dre, Queen Pen",Another Level,1,3,304600,2020-01-09T21:51:21Z
Morning Glory - Remastered,Oasis,(What's The Story) Morning Glory? [Deluxe Edition Remastered],1,10,304279,2019-04-25T18:32:43Z
Careless Whisper - Remastered,George Michael,Twenty Five,2,1,303426,2019-04-25T19:01:19Z
Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,1,13,303373,2019-04-25T22:49:35Z
Stop Crying Your Heart Out,Oasis,Time Flies... 1994-2009,1,5,302973,2019-04-25T18:32:43Z
Kids,MGMT,Oracular Spectacular,1,5,302840,2019-04-25T18:48:55Z
Smells Like Teen Spirit,Nirvana,Nevermind (Deluxe Edition),1,1,301920,2019-07-16T11:50:55Z
On Track,Tame Impala,The Slow Rush,1,7,301786,2020-04-09T14:55:04Z
All These Things That I've Done,The Killers,Hot Fuss,1,5,301746,2019-04-25T19:12:15Z
"Lights Out, Words Gone",Bombay Bicycle Club,A Different Kind Of Fix,1,4,301346,2020-01-03T17:36:40Z
You Get What You Give,New Radicals,Maybe You've Been Brainwashed Too,1,2,300773,2019-09-16T11:11:42Z
You're the Voice,John Farnham,Whispering Jack,1,2,300733,2020-01-03T17:34:24Z
What Went Down,Foals,What Went Down,1,1,300720,2019-04-25T18:21:10Z
Cinnamon Girl,Lana Del Rey,Norman Fucking Rockwell!,1,7,300683,2019-12-20T12:27:52Z
Bloodstream,Ed Sheeran,x (Deluxe Edition),1,7,300253,2019-04-25T20:02:00Z
3WW,alt-J,RELAXER,1,1,300106,2019-04-25T18:07:44Z
Feel,Bombay Bicycle Club,"So Long, See You Tomorrow",1,8,299866,2019-12-20T16:37:57Z
"I Don't Want to Miss a Thing - From the Touchstone film, Armageddon""""",Aerosmith,I Don't Want To Miss A Thing,1,1,299760,2019-04-25T22:28:48Z
Hunger Of The Pine,alt-J,Hunger Of The Pine,1,1,299710,2019-04-25T18:07:44Z
All Of The Lights,Kanye West,My Beautiful Dark Twisted Fantasy,1,5,299613,2019-09-23T15:58:50Z
Let Down,Radiohead,OK Computer,1,5,299560,2020-04-05T20:22:40Z
The Whole of the Moon,The Waterboys,The Whole of the Moon: The Music of Mike Scott & The Waterboys,1,1,299413,2019-12-15T14:52:58Z
Wile Out,"DJ Zinc, Ms. Dynamite",Wile Out,1,1,299011,2019-04-25T18:48:55Z
Ordinary,Two Door Cinema Club,Gameshow (Deluxe Edition),1,3,298933,2019-04-25T18:42:44Z
Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,1,1,298933,2019-04-25T22:31:41Z
Red Eyes,The War On Drugs,Lost In The Dream,1,2,298920,2020-01-31T17:54:40Z
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,Bad 25th Anniversary,1,2,298120,2019-04-25T18:29:14Z
Bad Decisions,Two Door Cinema Club,Gameshow (Deluxe Edition),1,2,297786,2019-04-25T18:42:44Z
British Bombs,Declan McKenna,British Bombs,1,1,297714,2020-02-24T10:44:13Z
In Degrees,Foals,Part 1 Everything Not Saved Will Be Lost,1,4,297632,2019-04-25T18:22:14Z
Dakota,Stereophonics,Language.Sex.Violence.Other?,1,5,297426,2019-04-25T18:48:55Z
Fast Car,Tracy Chapman,Tracy Chapman,1,2,296800,2019-12-23T21:42:00Z
Nara,alt-J,This Is All Yours,1,3,296057,2019-12-20T16:33:32Z
Africa,TOTO,Toto IV,1,10,295893,2019-06-28T12:38:47Z
Electric Bloom,Foals,Antidotes,1,5,295840,2019-07-28T16:20:50Z
Fix You,Coldplay,X&Y,1,4,295533,2019-04-25T18:17:11Z
Frisky (feat. Labrinth),"Tinie Tempah, Labrinth",Disc-Overy,1,8,295413,2019-04-25T18:40:46Z
Supremacy,Muse,The 2nd Law,1,1,295373,2019-04-25T18:48:55Z
Cast No Shadow - Remastered,Oasis,(What's The Story) Morning Glory? [Deluxe Edition Remastered],1,8,294892,2019-04-25T18:32:43Z
A World Alone,Lorde,Pure Heroine (Extended),1,10,294222,2019-04-25T18:26:10Z
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,1,6,293826,2019-04-25T18:29:14Z
Lucky Man,The Verve,Urban Hymns (Deluxe / Remastered 2016),1,9,293586,2019-09-06T11:40:48Z
Clique,"Kanye West, JAY-Z, Big Sean",Clique,1,1,293533,2019-08-20T19:06:12Z
Waiting All Night,"Rudimental, Ella Eyre",Home (Deluxe Edition),1,11,292586,2019-04-25T18:48:55Z
Inhaler,Foals,Holy Fire,1,2,292546,2019-04-25T22:51:41Z
POWER,Kanye West,My Beautiful Dark Twisted Fantasy,1,3,292093,2019-04-25T18:48:55Z
Coming Home,Kaiser Chiefs,"Education, Education, Education & War",1,2,291186,2019-04-25T19:03:01Z
Gosh,Jamie xx,In Colour,1,1,291018,2019-04-25T18:46:30Z
"Earthquake (feat. Tinie Tempah, Kano, Wretch 32 & Busta Rhymes) - All Stars Remix","Labrinth, Tinie Tempah, Kano, Wretch 32, Busta Rhymes",Electronic Earth,1,11,290866,2019-04-25T18:41:03Z
Magnet,Bombay Bicycle Club,I Had The Blues But I Shook Them Loose,1,7,290653,2019-11-16T18:33:15Z
Don't Look Back In Anger,Oasis,Time Flies... 1994-2009,1,8,290186,2019-04-25T18:32:43Z
Iris,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,1,14,289906,2019-04-25T22:16:31Z
Neighborhood #4 (7 Kettles),Arcade Fire,Funeral,1,5,289733,2019-12-24T12:12:27Z
Gooey,Glass Animals,ZABA,1,4,289306,2019-04-25T18:22:54Z
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [International Version],1,5,289133,2019-04-25T18:11:58Z
"(I've Had) The Time of My Life - From Dirty Dancing"" Soundtrack""","Bill Medley, Jennifer Warnes",Platinum & Gold Collection,1,12,289066,2020-03-25T13:54:48Z
Something Beautiful,Robbie Williams,Escapology,1,3,288733,2019-04-25T18:34:28Z
The Boys Of Summer,Don Henley,Building The Perfect Beast,1,1,288733,2019-06-22T12:09:20Z
Rebel Yell,Billy Idol,Rebel Yell,1,1,288533,2019-05-04T21:39:02Z
Depth Over Distance,Ben Howard,Keep Your Head Up,1,2,288435,2019-12-20T16:37:11Z
We Didn't Start the Fire,Billy Joel,The Essential Billy Joel,2,10,288400,2019-04-25T19:07:40Z
I Don't Feel Like Dancin',Scissor Sisters,Ta Dah,1,1,288360,2019-04-25T19:06:24Z
Neighborhood #1 (Tunnels),Arcade Fire,Funeral,1,1,288333,2019-08-27T16:30:29Z
Boogie Wonderland,"Earth, Wind & Fire, The Emotions",I Am,1,5,288293,2019-09-05T13:29:15Z
Let You Go,Bombay Bicycle Club,Everything Else Has Gone Wrong,1,10,288053,2020-01-27T18:22:52Z
Weapon (Bastille Vs. Angel Haze Vs. F*U*G*Z Vs. Braque),"Bastille, Angel Haze, F*U*G*Z, Braque","VS. (Other People’s Heartache, Pt. III)",1,8,288013,2019-04-25T18:10:26Z
Speed of Sound,Coldplay,X&Y,1,7,287906,2019-04-25T18:17:11Z
Axe To Grind (Bastille Vs. Tyde Vs. Rationale),"Bastille, Tyde, Rationale","VS. (Other People’s Heartache, Pt. III)",1,5,287717,2019-04-25T18:10:21Z
bad_news (Bastille Vs. MNEK),"Bastille, MNEK","VS. (Other People’s Heartache, Pt. III)",1,3,287315,2019-04-25T18:10:14Z
The Angry Mob,Kaiser Chiefs,"Yours Truly, Angry Mob",1,2,286866,2019-04-25T19:04:16Z
Wake Me up When September Ends,Green Day,American Idiot,1,7,285653,2019-06-28T12:28:14Z
Charlie Brown,Coldplay,Mylo Xyloto,1,4,285159,2019-04-25T18:17:11Z
More Than a Feeling,Boston,Boston,1,1,285133,2019-08-20T19:22:22Z
Magic,Coldplay,Magic,1,1,285014,2019-04-25T18:17:11Z
The Real Slim Shady,Eminem,Curtain Call: The Hits,1,11,284800,2019-04-25T19:01:39Z
No Regrets,Robbie Williams,In And Out Of Consciousness: Greatest Hits 1990 - 2010,1,31,284773,2019-04-25T18:33:57Z
American Boy (feat. Kanye West),"Estelle, Kanye West",Shine,1,3,284733,2019-04-25T19:01:19Z
Satisfy,NERO,Satisfy,1,1,284516,2019-04-25T18:48:55Z
Meet Me Halfway,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],1,3,284373,2019-08-12T14:09:49Z
Supersonic - Remastered,Oasis,Definitely Maybe (Remastered) [Deluxe Edition Remastered],1,6,283786,2019-04-25T18:32:43Z
Afterlife,Nothing But Thieves,Broken Machine (Deluxe),1,11,283613,2019-04-25T18:32:00Z
Faith,The Weeknd,After Hours,1,8,283226,2020-05-03T15:09:02Z
Loud Places (feat. Romy),Jamie xx,In Colour,1,8,283066,2020-04-20T14:31:50Z
Give It Away,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),1,9,282906,2019-08-12T16:40:58Z
You & Me - Flume Remix,"Disclosure, Eliza Doolittle, Flume",Settle (Special Edition),1,34,282812,2019-04-25T19:57:17Z
Prey,The Neighbourhood,Wiped Out!,1,2,282640,2019-09-16T11:02:15Z
Crown of Love,Arcade Fire,Funeral,1,6,282333,2019-08-27T12:45:23Z
Dani California,Red Hot Chili Peppers,Stadium Arcadium,1,1,282160,2019-04-25T18:48:55Z
Video Games - Remastered,Lana Del Rey,Born To Die,1,4,281946,2019-04-30T23:04:39Z
Fever,Two Door Cinema Club,Gameshow (Deluxe Edition),1,6,281920,2019-04-25T18:42:56Z
Glory,Bastille,Wild World (Complete Edition),1,5,281866,2019-04-25T18:10:54Z
I Forget Where We Were,Ben Howard,I Forget Where We Were,1,3,281213,2019-04-25T18:13:07Z
"Two Steps, Twice",Foals,Antidotes,1,8,281159,2019-07-18T00:05:39Z
Levels - Skrillex Remix,"Avicii, Skrillex",Levels,1,2,281146,2019-07-06T15:55:27Z
Come Together,Echosmith,Talking Dreams (Deluxe Version),1,1,280933,2019-04-25T18:20:10Z
Ain't Nobody,Chaka Khan,"Epiphany: The Best Of Chaka Khan, Vol. 1",1,1,280853,2019-09-05T13:29:15Z
Dark Fantasy,Kanye West,My Beautiful Dark Twisted Fantasy,1,1,280786,2019-09-27T08:31:20Z
Unbearably White,Vampire Weekend,Father of the Bride,1,7,280200,2019-12-19T17:58:58Z
1973,James Blunt,All The Lost Souls,1,1,280026,2019-04-25T18:24:12Z
Secret Smile,Semisonic,Feeling Strangely Fine (20th Anniversary Edition),1,5,279813,2019-05-04T22:28:57Z
#thatPOWER,"will.i.am, Justin Bieber",#willpower (Deluxe),1,9,279506,2019-08-12T14:20:22Z
Bang Bang,will.i.am,#willpower (Deluxe),1,18,279053,2019-04-25T19:04:39Z
Paradise,Coldplay,Mylo Xyloto,1,3,278719,2019-04-25T18:17:11Z
Crazy,Nothing But Thieves,Crazy,1,1,278586,2019-04-25T18:56:19Z
Take Back The City,Snow Patrol,A Hundred Million Suns,1,3,278306,2019-04-25T18:38:49Z
Advertising Space,Robbie Williams,In And Out Of Consciousness: Greatest Hits 1990 - 2010,1,10,278240,2019-04-25T18:33:57Z
Intro,alt-J,This Is All Yours,1,1,278028,2019-04-25T18:08:15Z
Shake It Out,Florence + The Machine,Ceremonials,1,2,277637,2019-04-25T18:11:58Z
Supercut,Lorde,Melodrama,1,9,277506,2019-04-25T18:26:43Z
Underdog,Kasabian,West Ryder Pauper Lunatic Asylum,1,1,277466,2019-04-25T18:48:55Z
Lonely Hunter,Foals,What Went Down,1,9,277213,2019-04-25T18:21:38Z
Some Nights,fun.,Some Nights,1,2,277040,2020-02-11T13:30:00Z
Life is a Highway,Rascal Flatts,Rascal Flatts,1,4,276973,2019-09-02T16:22:42Z
Caught in the Middle,Kodaline,Coming Up for Air (Expanded Edition),1,13,276933,2019-04-25T18:25:28Z
Empire State Of Mind,"JAY-Z, Alicia Keys",The Blueprint 3,1,5,276920,2019-04-25T18:11:58Z
I Will Wait,Mumford & Sons,Babel,1,3,276720,2019-04-25T21:55:51Z
Young Folks,Peter Bjorn and John,Writer's Block,1,3,276693,2019-05-28T15:12:53Z
My Iron Lung,Radiohead,The Bends,1,8,276426,2020-05-05T14:48:54Z
Surgery,Two Door Cinema Club,Gameshow (Deluxe Edition),1,9,276333,2019-04-25T18:42:56Z
Live Forever,Oasis,Time Flies... 1994-2009,1,3,276053,2019-04-25T18:32:43Z
Umbrella,"Rihanna, JAY-Z",Good Girl Gone Bad (Deluxe),1,1,275986,2019-04-25T18:11:58Z
Don’t Delete The Kisses,Wolf Alice,Visions Of A Life,1,4,275226,2019-04-30T17:09:06Z
Home By Now,Bombay Bicycle Club,"So Long, See You Tomorrow",1,4,274653,2019-04-25T18:14:12Z
Earthquake (feat. Tinie Tempah),"Labrinth, Tinie Tempah",Electronic Earth,1,2,274600,2019-04-25T18:11:58Z
Borderline,Tame Impala,Borderline,1,1,274293,2019-08-05T16:56:12Z
It's Beginning To Get To Me,Snow Patrol,Eyes Open,1,5,273586,2019-04-25T18:38:38Z
Disco 2000,Pulp,Different Class,1,5,273573,2019-04-25T22:28:57Z
Maybe Tomorrow,Stereophonics,You Gotta Go There To Come Back,1,2,272946,2019-04-25T22:49:43Z
Where Is The Love?,Black Eyed Peas,Elephunk,1,13,272533,2019-08-12T14:06:47Z
No Church In The Wild,"JAY-Z, Kanye West, Frank Ocean, The-Dream",Watch The Throne (Deluxe),1,1,272506,2019-04-25T19:01:53Z
You're All I Have,Snow Patrol,Eyes Open,1,1,272400,2019-04-25T18:38:38Z
Do I Wanna Know?,Arctic Monkeys,AM,1,1,272394,2019-04-25T18:08:28Z
Show Me A Sign,Modestep,Show Me A Sign,1,1,272266,2019-04-25T18:48:55Z
Amsterdam,Nothing But Thieves,Broken Machine (Deluxe),1,2,272240,2019-04-25T18:11:58Z
Way of the Warrior - June Miller Remix,"James Marvel, MC Mota, June Miller",Way Of The Warrior (June Miller Remix),1,1,272093,2019-04-25T18:48:55Z
Bonfire,Knife Party,Rage Valley EP,1,3,272077,2019-08-11T22:46:16Z
Hearts Like Ours,The Naked And Famous,Hearts Like Ours,1,1,272053,2019-07-03T15:36:25Z
Take Your Mama,Scissor Sisters,Scissor Sisters,1,2,271866,2019-08-12T16:28:04Z
Dreams,The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1,2,271560,2020-04-09T11:42:20Z
Into the Surf,Foals,Part 2 Everything Not Saved Will Be Lost,1,9,271338,2019-11-01T21:10:14Z
Take on the World,You Me At Six,Night People,1,4,271306,2019-04-25T18:58:11Z
The Louvre,Lorde,Melodrama,1,4,271088,2019-04-25T18:26:32Z
The Hills - RL Grime Remix,"The Weeknd, RL Grime",The Hills (RL Grime Remix),1,1,271066,2019-04-25T20:00:31Z
My Love - Sigma Remix,"Route 94, Jess Glynne, Sigma",My Love (Remixes),1,1,270802,2019-04-25T18:48:55Z
The Edge of Heaven,Wham!,Music From The Edge Of Heaven,1,1,270800,2019-09-05T13:29:15Z
I Was Just a Kid,Nothing But Thieves,Broken Machine (Deluxe),1,1,270546,2019-04-25T18:31:10Z
Total Eclipse of the Heart,Bonnie Tyler,Ravishing - The Best Of,1,1,270546,2020-01-04T18:44:18Z
Nothing's Gonna Stop Us Now,Starship,No Protection,1,2,270333,2019-12-25T21:40:36Z
The Chain - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),1,7,270213,2019-04-25T22:59:50Z
Wash Off,Foals,Part 2 Everything Not Saved Will Be Lost,1,3,270052,2019-11-01T21:10:08Z
All of Me,John Legend,Love In The Future (Expanded Edition),1,6,269560,2019-04-25T19:07:34Z
OMG (feat. will.i.am),"Usher, will.i.am",Raymond v Raymond (Expanded Edition),1,6,269493,2019-08-02T11:02:35Z
The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",1,1,269373,2019-04-25T18:48:55Z
Rock That Body,Black Eyed Peas,The Beginning & The Best Of The E.N.D. (International Mega-Deluxe Version),2,5,269253,2019-08-12T14:10:27Z
I Feel It Coming,"The Weeknd, Daft Punk",Starboy,1,18,269186,2019-04-25T18:44:11Z
Invincible,Two Door Cinema Club,Gameshow (Deluxe Edition),1,7,269173,2019-04-25T18:11:58Z
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),1,7,269000,2019-04-25T18:48:55Z
What Is Love - Single Mix,Haddaway,The Album,1,1,269000,2019-09-05T13:29:15Z
F.E.A.R.,Ian Brown,Music Of The Spheres,1,1,268986,2019-07-26T16:56:23Z
F For You,Disclosure,Settle (Deluxe Version),1,4,268935,2019-04-25T18:48:55Z
Black Widow,Macky Gee,"Liondub Street Series, Vol. 11 - Black Widow",1,2,268628,2019-04-25T18:48:55Z
This Life,Vampire Weekend,Father of the Bride,1,4,268600,2019-12-19T17:58:58Z
Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),1,2,268426,2019-06-28T14:06:45Z
Nothin' on You (feat. Bruno Mars),"B.o.B, Bruno Mars",B.o.B Presents: The Adventures of Bobby Ray,1,2,268320,2019-04-25T18:48:55Z
Pass Out,Tinie Tempah,Disc-Overy,1,3,268053,2019-04-25T18:11:58Z
Alleyways,The Neighbourhood,I Love You.,1,6,267853,2020-01-07T21:55:15Z
Run This Town,"JAY-Z, Rihanna, Kanye West",The Blueprint 3,1,4,267520,2019-12-15T19:32:32Z
Exit Music (For a Film),Radiohead,OK Computer,1,4,267186,2020-04-04T19:17:31Z
Don't Stop The Music,Rihanna,Good Girl Gone Bad,1,3,267080,2019-04-25T19:54:59Z
Goodbye Mr A,The Hoosiers,The Trick To Life,1,4,266813,2019-04-25T19:10:26Z
Yellow,Coldplay,Yellow,1,1,266773,2019-04-25T18:17:11Z
Little Talks,Of Monsters and Men,My Head Is An Animal,1,6,266600,2019-04-25T18:48:55Z
Desire Be Desire Go,Tame Impala,InnerSpeaker,1,2,266306,2020-05-05T15:53:04Z
Keep You On My Side,CHVRCHES,Every Open Eye (Extended Edition),1,3,265933,2019-04-25T18:18:39Z
Moving on,Kodaline,Coming Up for Air (Expanded Edition),1,15,265813,2019-04-25T18:25:28Z
Unclear,Kodaline,Coming Up for Air (Expanded Edition),1,5,265773,2019-04-25T18:25:28Z
Babylon,David Gray,White Ladder,1,2,265666,2019-08-23T09:44:54Z
Secrets,The Weeknd,Starboy,1,6,265600,2019-04-25T18:43:49Z
Chasing Cars,Snow Patrol,Eyes Open,1,3,265506,2019-04-25T18:38:38Z
Carry Me,Bombay Bicycle Club,"So Long, See You Tomorrow",1,3,265346,2019-04-25T18:14:12Z
I Will Survive - Rerecorded,Gloria Gaynor,I Will Survive (Rerecorded),1,1,265026,2019-09-05T13:29:15Z
Angels,Robbie Williams,Life Thru A Lens,1,4,265000,2019-04-25T18:33:57Z
Why Does It Always Rain On Me?,Travis,The Man Who,1,7,265000,2019-04-25T19:02:06Z
"So Long, Jimmy",James Blunt,Back to Bedlam,1,7,264906,2019-04-25T18:24:12Z
Come To,Bombay Bicycle Club,"So Long, See You Tomorrow",1,9,264666,2019-04-25T18:11:58Z
Keep Your Head Up,Ben Howard,Every Kingdom (Deluxe Version),1,7,264546,2019-04-25T18:11:58Z
Take a Walk,Passion Pit,Gossamer,1,1,264493,2019-04-25T18:48:55Z
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),1,11,264306,2019-04-25T18:48:55Z
"10,000 Feet",Foals,Part 2 Everything Not Saved Will Be Lost,1,8,264155,2019-11-01T21:10:14Z
Karma Police,Radiohead,OK Computer,1,6,264066,2020-04-04T19:04:01Z
Ran off in the Night,Echosmith,Talking Dreams (Deluxe Version),1,9,264040,2019-04-25T18:20:42Z
Feel,Robbie Williams,Escapology,1,2,263866,2019-04-25T18:34:28Z
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,1,5,263786,2019-04-25T18:17:11Z
Never Say Die,CHVRCHES,Love Is Dead,1,6,263645,2019-04-25T18:17:54Z
Heroe,Enrique Iglesias,Escape,1,13,263600,2019-04-25T19:16:33Z
Find Me (feat. Jake Bugg),"Tinie Tempah, Jake Bugg",YOUTH,1,14,263560,2019-04-25T18:41:03Z
Love The Way You Lie,"Eminem, Rihanna",Recovery,1,15,263373,2019-04-25T18:48:55Z
Don't You (Forget About Me),Simple Minds,Once Upon A Time (Super Deluxe),2,1,263040,2019-09-05T13:29:15Z
Don't Speak,No Doubt,Tragic Kingdom,1,10,263000,2020-03-24T20:06:57Z
How to Save a Life,The Fray,How To Save A Life,1,3,262533,2019-04-25T18:11:58Z
You Already Know,"Bombay Bicycle Club, Kathryn Williams",Evening/Morning,1,2,262533,2020-01-07T21:31:48Z
Say It,"Flume, Tove Lo",Say It,1,1,262521,2019-04-25T18:48:55Z
The Night,Sundara Karma,Youth is Only Ever Fun in Retrospect,1,14,262466,2019-04-25T18:40:07Z
Boulevard of Broken Dreams,Green Day,Greatest Hits: God's Favorite Band,1,14,262333,2019-04-25T22:16:24Z
Single,The Neighbourhood,Wiped Out!,1,10,262320,2020-04-06T17:59:41Z
Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock",Sorry For Party Rocking,1,3,262146,2019-08-12T14:15:00Z
The Runner,Foals,Part 2 Everything Not Saved Will Be Lost,1,2,261936,2019-11-01T21:10:08Z
Soundcheck,Catfish and the Bottlemen,The Ride,1,3,261560,2019-04-25T18:48:55Z
Breakeven,The Script,The Script,1,5,261426,2019-04-25T18:38:02Z
Birch Tree,Foals,What Went Down,1,3,261133,2019-04-25T18:21:10Z
