Track_Name,Artist_Name,Album_Name,Disc_Number,Track_Number,Track_Duration_(ms),Added_At
One - Radio Edit,Swedish House Mafia,One (Your Name),1,2,169920,2019-04-25T18:48:55Z
I Only Lie When I Love You,Royal Blood,How Did We Get So Dark?,1,3,169720,2019-12-20T16:44:21Z
Run,"Tiggs Da Author, Lady Leshurr",Run,1,1,169531,2019-07-03T15:36:25Z
She Moves In Her Own Way,The Kooks,Inside In / Inside Out,1,7,169306,2019-04-25T18:48:55Z
"Me, Myself and Hollywood",Circa Waves,What’s It Like Over There?,1,5,168745,2019-07-03T15:43:32Z
Paranoid,Black Sabbath,Paranoid (2009 Remastered Version),1,2,168440,2019-07-16T12:13:33Z
For The Girl,The Fratellis,Costello Music,1,5,168346,2020-04-07T13:19:32Z
Fossils,Circa Waves,Young Chasers,1,3,167920,2020-03-14T12:54:56Z
Lasso,Phoenix,Wolfgang Amadeus Phoenix,1,6,167853,2019-08-27T12:51:41Z
Bonbon,Era Istrefi,Bonbon EP,1,1,167000,2019-04-25T18:56:13Z
Get Up (Rattle) - Radio Edit,"Bingo Players, Far East Movement",Get Up (Rattle),1,1,166932,2019-04-25T18:48:55Z
Where Are You Now?,Royal Blood,How Did We Get So Dark?,1,6,166800,2019-12-20T16:45:00Z
Charlemagne,Blossoms,Blossoms,1,1,166791,2019-04-25T19:10:37Z
Worried About Ray,The Hoosiers,The Trick To Life,1,1,166786,2019-04-25T18:11:58Z
Baggy Trousers,Madness,Absolutely,1,1,166760,2019-06-27T15:36:55Z
Undercover Martyn,Two Door Cinema Club,Tourist History,1,7,166573,2019-04-25T18:48:55Z
In Cold Blood (feat. Pusha T) - Twin Shadow Version,"alt-J, Pusha T",REDUXER,1,2,166527,2019-09-08T17:10:04Z
Bleed It Out,Linkin Park,Minutes to Midnight,1,4,166373,2019-09-08T23:17:51Z
Gecko (Overdrive) - Radio Edit,"Oliver Heldens, Becky Hill",Gecko (Overdrive),1,1,165440,2019-04-25T18:11:58Z
Blowin' in the Wind,Bob Dylan,The Freewheelin' Bob Dylan,1,1,165426,2019-08-20T19:37:26Z
Wake Up Call,Nothing But Thieves,Nothing But Thieves (Deluxe),1,3,165346,2019-04-25T18:29:50Z
With A Little Help From My Friends - Remix,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),1,2,165293,2019-08-12T14:56:33Z
Poet,Bastille,All This Bad Blood,2,1,165120,2019-04-25T18:09:36Z
Golden Skans,Klaxons,Myths Of The Near Future,1,3,165120,2019-04-25T18:50:02Z
Animals - Radio Edit,Martin Garrix,Animals,1,1,164746,2019-04-25T21:55:45Z
You Can Be So Cruel,Royal Blood,Royal Blood,1,4,164472,2019-04-25T18:35:41Z
Just Drive,Alistair Griffin,Albion Sky,1,2,164014,2019-04-25T18:54:14Z
Losing It (Radio Edit),FISHER,Losing It (Radio Edit),1,1,163247,2019-04-25T18:48:55Z
